%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1520814178829182521,232,1520814178827950954,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814179824133496,233,1520814179823257923,map,1,1,21.432505,-157.789296667,20.8,0.5476,0.0,0.0,0.0,0.5476,0.0,0.0,0.0,2.1904,1
1520814180830315314,234,1520814180829309940,map,1,1,21.432505,-157.789296667,20.8,0.5476,0.0,0.0,0.0,0.5476,0.0,0.0,0.0,2.1904,1
1520814181845905259,235,1520814181844973087,map,1,1,21.432505,-157.789296667,20.8,0.5476,0.0,0.0,0.0,0.5476,0.0,0.0,0.0,2.1904,1
1520814182836420538,236,1520814182835522890,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814183839404801,237,1520814183838274955,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814184831816177,238,1520814184830430030,map,1,1,21.432505,-157.789296667,20.8,0.5476,0.0,0.0,0.0,0.5476,0.0,0.0,0.0,2.1904,1
1520814185755989454,239,1520814185754904985,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814186795239391,240,1520814186794532060,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814187805143196,241,1520814187803376913,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814188757494097,242,1520814188756198883,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814189741307091,243,1520814189740683078,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814190740391987,244,1520814190739372014,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814191780970671,245,1520814191780221939,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814192788240836,246,1520814192787489891,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814193805193653,247,1520814193804148912,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814194799945721,248,1520814194798830032,map,1,1,21.432505,-157.789296667,20.8,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
