%time,field.data
1520818041029313804,47
1520818041104349958,47
1520818041178367050,47
1520818041252077473,47
1520818041311738931,47
1520818041370840326,47
1520818041444486307,47
1520818041518270897,47
1520818041594092473,47
1520818041668027823,47
1520818041741911095,47
1520818041816496362,47
1520818041890996396,47
1520818041964790000,47
1520818042038491051,47
1520818042112403781,47
1520818042185763614,47
1520818042262104554,47
1520818042335720166,47
1520818042409387496,47
1520818042484874466,47
1520818042543330163,47
1520818042603653018,47
1520818042661358782,47
1520818042737082702,47
1520818042810767769,47
1520818042884509450,47
1520818042959850603,47
1520818043033662865,47
1520818043107565012,47
1520818043181847001,47
1520818043256117694,47
1520818043330786127,47
1520818043404725783,47
1520818043478251488,47
1520818043552365132,47
1520818043627382189,47
1520818043701782771,47
1520818043774729885,47
1520818043834908907,47
1520818043894010819,47
1520818043953676768,47
1520818044027467865,47
1520818044102754655,47
1520818044176380581,47
1520818044250181152,47
1520818044324442523,47
1520818044397955781,47
1520818044473588279,47
1520818044547555016,47
1520818044621452704,47
1520818044695124378,47
1520818044770735588,47
1520818044844024048,47
1520818044917703557,47
1520818044991595423,47
1520818045067498959,47
1520818045126760864,47
1520818045186298360,47
1520818045260162605,47
1520818045334000427,47
1520818045407876325,47
1520818045482801923,47
1520818045556530318,47
1520818045630668744,47
1520818045705430913,47
1520818045778520987,47
1520818045853898905,47
1520818045927641703,47
1520818046001559246,47
1520818046075366804,47
1520818046150589394,47
1520818046224393462,47
1520818046297837673,47
1520818046372218423,47
1520818046431512762,47
1520818046490446024,47
1520818046566279116,47
1520818046640335681,47
1520818046714339504,47
1520818046787724115,47
1520818046863136635,47
1520818046936968046,47
1520818047010824575,47
1520818047085628661,47
1520818047158310598,47
1520818047234108691,47
1520818047307922114,47
1520818047381956847,47
1520818047457139847,47
1520818047530875278,47
1520818047604768527,47
1520818047664213051,47
1520818047723323182,47
1520818047783317332,47
1520818047856898936,47
1520818047930798202,47
1520818048006029145,47
1520818048080030286,47
1520818048153568538,47
1520818048228224827,47
1520818048301377086,47
1520818048376901559,47
1520818048450691733,47
1520818048524404686,47
1520818048599973573,47
1520818048673503912,47
1520818048747283264,47
1520818048822281674,47
1520818048894651554,47
1520818048956328616,47
1520818049014424347,47
1520818049073453914,47
1520818049148823308,47
1520818049222500105,47
1520818049296335617,47
1520818049370010217,47
1520818049445809295,47
1520818049519659298,47
1520818049593405368,47
1520818049667168697,47
1520818049742643224,47
1520818049816337887,47
1520818049890113192,47
1520818049963857940,47
1520818050038395180,47
1520818050113486646,47
1520818050187405424,47
1520818050246572453,47
1520818050305934504,47
1520818050379740665,47
1520818050455435117,47
1520818050528860962,47
1520818050602859036,47
1520818050676757926,47
1520818050750475421,47
1520818050826099503,47
1520818050899932896,47
1520818050974059129,47
1520818051047485056,47
1520818051122935242,47
1520818051196779844,47
1520818051270518679,47
1520818051345186092,47
1520818051417778814,47
1520818051493579125,47
1520818051553083206,47
1520818051612587614,47
1520818051686385442,47
1520818051760177744,47
1520818051835664773,47
1520818051909475456,47
1520818051982919746,47
1520818052056873068,47
1520818052130878588,47
1520818052206566018,47
1520818052280460462,47
1520818052354247923,47
1520818052428713929,47
1520818052503394403,47
1520818052577589918,47
1520818052650589774,47
1520818052725814235,47
1520818052783981122,47
1520818052844329466,47
1520818052902868785,47
1520818052978360788,47
1520818053052189766,47
1520818053125843173,47
1520818053200446816,47
1520818053273761756,47
1520818053349091127,47
1520818053423151039,47
1520818053496879384,47
1520818053570943749,47
1520818053645829908,47
1520818053719797853,47
1520818053793391189,47
1520818053867132141,47
1520818053943328882,47
1520818054016996999,47
1520818054076097347,47
1520818054135856646,47
1520818054194757815,47
1520818054268545558,47
1520818054342607453,47
1520818054416065321,47
1520818054492049434,47
1520818054565568693,47
1520818054639867878,47
1520818054714516087,47
1520818054788894754,47
1520818054862376531,47
1520818054936184913,47
1520818055010587964,47
1520818055086075844,47
1520818055159807221,47
1520818055233300761,47
1520818055308020173,47
1520818055367298931,47
1520818055426942420,47
1520818055486155543,47
1520818055558786836,47
1520818055635134794,47
1520818055708433023,47
1520818055782120853,47
1520818055857629786,47
1520818055931597358,47
1520818056005071289,47
1520818056079540577,47
1520818056152603177,47
1520818056228633815,47
1520818056302576129,47
1520818056376217279,47
1520818056450898681,47
1520818056525539363,47
1520818056598906460,47
1520818056658805841,47
1520818056717817996,47
1520818056791779684,47
1520818056865529006,47
1520818056939264841,47
1520818057014784445,47
1520818057088807663,47
1520818057162484210,47
1520818057238061019,47
1520818057311842276,47
1520818057385660519,47
1520818057460081004,47
1520818057533714904,47
1520818057609100533,47
1520818057682791602,47
1520818057756575149,47
1520818057831742254,47
1520818057905462928,47
1520818057965346774,47
1520818058024335451,47
1520818058098277720,47
1520818058172013026,47
1520818058245704756,47
1520818058319021613,47
1520818058395402096,47
1520818058469062277,47
1520818058542825183,47
1520818058618037387,47
1520818058692237734,47
1520818058765601223,47
1520818058839868463,47
1520818058913296312,47
1520818058989267849,47
1520818059063120902,47
1520818059136423066,47
1520818059195601490,47
1520818059255641445,47
1520818059314447777,47
1520818059388756309,47
1520818059464270372,47
1520818059538034016,47
1520818059612137818,47
1520818059686670520,47
1520818059760847618,47
1520818059834438868,47
1520818059908500294,47
1520818059982133882,47
1520818060055911084,47
1520818060131959629,47
1520818060205759447,47
1520818060279515324,47
1520818060354773958,47
1520818060428660788,47
1520818060488277101,47
1520818060547413649,47
1520818060607094618,47
1520818060680929211,47
1520818060754794506,47
1520818060828317562,47
1520818060903779332,47
1520818060977545602,47
1520818061051392520,47
1520818061125790138,47
1520818061201071489,47
1520818061274673986,47
1520818061348512197,47
1520818061422492493,47
1520818061497695506,47
1520818061571588731,44
1520818061645265019,43
1520818061719038604,43
1520818061778246279,43
1520818061838368643,43
1520818061912068160,43
1520818061987509969,43
1520818062061353704,47
1520818062134889292,43
1520818062210189490,43
1520818062284068711,43
1520818062357674461,43
1520818062431439941,43
1520818062505429321,43
1520818062581374952,43
1520818062654892424,43
1520818062728955748,47
1520818062802601959,43
1520818062877877115,43
1520818062951723493,43
1520818063025370814,43
1520818063085395607,43
1520818063144366857,43
1520818063217870554,43
1520818063291951847,43
1520818063367681927,43
1520818063441625192,43
1520818063515097415,43
1520818063590532025,42
1520818063664141336,43
1520818063738204705,42
1520818063811659305,42
1520818063886505010,42
1520818063961347848,42
1520818064035262086,42
1520818064109240477,42
1520818064182548226,47
1520818064258150827,42
1520818064315846142,42
1520818064376919416,42
1520818064435304169,42
1520818064510287667,42
1520818064583919222,42
1520818064657852509,42
1520818064733245476,42
1520818064807196609,42
1520818064880600960,42
1520818064954626435,42
1520818065028966349,42
1520818065104067850,42
1520818065178107754,42
1520818065251916055,42
1520818065325556581,42
1520818065401089155,42
1520818065474419387,42
1520818065548348808,42
1520818065608060042,42
1520818065667219644,42
1520818065741165328,42
1520818065815912285,42
1520818065890604061,42
1520818065964251726,42
1520818066038102345,42
1520818066113839963,42
1520818066187519190,42
1520818066261093159,42
1520818066335313464,47
1520818066408478063,42
1520818066484452306,42
1520818066558334662,42
1520818066632280387,42
1520818066707030464,42
1520818066781290537,42
1520818066854876463,42
1520818066914696494,42
1520818066973568856,42
1520818067047463896,42
1520818067122019124,42
1520818067195321391,42
1520818067270778633,42
1520818067344800512,47
1520818067418511385,42
1520818067493795925,42
1520818067567909829,42
1520818067641574695,42
1520818067715370197,42
1520818067789531214,42
1520818067864929168,42
1520818067938537344,42
1520818068012247611,42
1520818068085988413,47
1520818068145771903,47
1520818068204874155,42
1520818068265038572,42
1520818068338091507,42
1520818068413580942,42
1520818068487399035,47
1520818068561179513,42
1520818068636709098,42
1520818068710433430,42
1520818068784276598,42
1520818068857781560,42
1520818068932300566,42
1520818069007429819,42
1520818069081265552,42
1520818069155123450,42
1520818069229877162,42
1520818069303963411,42
1520818069377882059,42
1520818069437628959,47
1520818069496839543,42
1520818069556429707,42
1520818069630291479,42
1520818069704234613,42
1520818069779001454,42
1520818069853058168,42
1520818069926986536,41
1520818070000518004,41
1520818070074955703,41
1520818070150451855,41
1520818070224262833,42
1520818070297645884,47
1520818070373355470,41
1520818070447290880,41
1520818070520855678,47
1520818070594452009,42
1520818070668446121,47
1520818070727872309,41
1520818070786876821,42
1520818070861997053,41
1520818070936952580,41
1520818071010657220,47
1520818071084503126,42
1520818071159646029,41
1520818071233862918,41
1520818071306871936,41
1520818071381450894,41
1520818071454815527,41
1520818071530791303,47
1520818071604303244,41
1520818071677964970,41
1520818071753541150,41
1520818071827321049,41
1520818071901193601,41
1520818071974769210,41
1520818072034509333,41
1520818072094073060,41
1520818072168269037,41
1520818072243123992,41
1520818072317114416,41
1520818072390924609,41
1520818072465301275,41
1520818072540079371,41
1520818072613573606,41
1520818072687402549,41
1520818072761572005,41
1520818072835645495,41
1520818072910870041,41
1520818072984272193,41
1520818073058476987,41
1520818073133792348,41
1520818073207564034,41
1520818073267494646,41
1520818073326321553,41
1520818073385765013,41
